hhid,today,coffee_farm_manager,survey_agreed,woredaname,kebele_def,farm_owner,coop_f,coop_m,edu_wh,edu_hw,gpslatitude_deidentified,gpslongitude_deidentified,farm_area_total,coffeefarm_area_total,num_coffee_fields,ao_ls_7,washed_arabica_production,trainings3,income_from_coffee_mod,coffeetrees
5520125,18-Jul-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,No,No Education,Junior Secondary - Grade 7-8,5.7386456,38.352597,0.75,0.5,1,2,550,1,>50%,1250
5520126,18-Jul-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7376433,38.352994,1,0.75,1,0,1200,1,100%,1875
5520127,01-May-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7369691,38.350598,0.75,0.5,1,0,500,1,100%,1250
5520128,17-Jul-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,Yes,No Education,Elementary - Grade 1-6,5.7360307,38.351418,2,1,3,2,450,1,100%,2500
5520201,09-Mar-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,Yes,No Education,No Education,5.7435752,38.368958,0.5,0.5,1,2,100,1,100%,1250
5520202,11-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,Junior Secondary - Grade 7-8,Junior Secondary - Grade 7-8,5.7455345,38.369832,0.5,0.32499999,1,0,300,1,100%,812.5
5520203,13-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,Yes,No Education,Elementary - Grade 1-6,5.7428413,38.369267,4.5,4,3,6,,1,100%,10000
5520204,20-May-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,No Education,5.7459207,38.367402,1.5,1,1,5,300,1,50%,2500
5520205,10-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7443858,38.369614,0.5,0.5,1,2,300,1,100%,1250
5520206,10-Jul-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),Yes,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7443872,38.371224,1,0.75,1,0,300,1,100%,1875
5520207,18-Jul-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Junior Secondary - Grade 7-8,5.7439142,38.367753,1,0.75,1,0,380,1,100%,1875
5520208,11-Mar-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.745195,38.367745,1,1,1,0,500,1,100%,2500
5520209,18-May-20,Man (husband),Yes,Bulehora,Sakicha,Both husband and wife equally,Yes,No,No Education,Junior Secondary - Grade 7-8,5.7462288,38.370377,1.25,1,1,0,300,1,100%,2500
5520211,18-May-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),Yes,Yes,Junior Secondary - Grade 7-8,Diploma - Grade 10+4,5.744566,38.369893,1.5,1,3,1,800,1,100%,2500
5520212,12-Mar-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,Yes,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7441865,38.369832,1,0.5,2,2,400,1,100%,1250
5520213,11-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Junior Secondary - Grade 7-8,5.7455064,38.369999,1.5,1.25,2,0,350,1,100%,3125
5520214,10-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,No Education,5.7420908,38.369252,2,1.75,2,1,300,1,100%,4375
5520216,10-Mar-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,No Education,5.7429829,38.368954,1,1,1,0,300,1,100%,2500
5520219,10-Jul-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7491699,38.368081,0.75,0.5,2,0,250,1,100%,1250
5520220,10-Jul-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7459594,38.370503,0.75,0.5,2,0,800,1,100%,1250
5520221,10-Jul-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,No Education,5.7443028,38.371102,1.5,1,2,6,,0,50%,2500
5520301,22-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,Yes,No Education,Elementary - Grade 1-6,5.743887,38.362084,2.5,2,2,1,400,1,100%,5000
5520303,30-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),Yes,No,No Education,No Education,5.7424279,38.362454,0.75,0.5,1,0,200,1,100%,1250
5520305,02-Jul-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,Yes,No Education,Elementary - Grade 1-6,5.7439409,38.36097,1.5,1.25,1,0,700,1,100%,3125
5520306,02-Jul-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),Yes,Yes,Elementary - Grade 1-6,Junior Secondary - Grade 7-8,5.7425223,38.360417,0.75,0.5,2,0,500,1,100%,1250
5520307,02-Jul-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,Yes,No Education,Elementary - Grade 1-6,5.7424699,38.360447,0.75,0.5,1,0,510,1,100%,1250
5520308,08-Jul-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,No Education,5.7403904,38.36171,1,0.75,1,0,308,1,100%,1875
5520309,25-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7456442,38.366364,0.75,0.5,2,1,300,1,100%,1250
5520310,30-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,No Education,5.7417041,38.362385,0.75,0.5,1,0,350,1,100%,1250
5520311,22-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7435604,38.36205,1.5,1.25,2,2,500,1,100%,3125
5520312,30-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),,No,,No Education,5.7399007,38.362847,1,0.75,1,0,250,1,100%,1875
5520314,08-Jul-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,No Education,5.7401543,38.362343,0.5,0.25,1,0,300,1,100%,625
5520317,30-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),Yes,No,No Education,Elementary - Grade 1-6,5.7455583,38.366486,1,0.75,2,3,350,1,>50%,1875
5520318,30-Jun-20,Woman (wife),Yes,Bulehora,Sakicha,Man (husband),Yes,,No Education,,5.7435966,38.365021,1.5,1,2,0,300,1,100%,2500
5520319,25-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,Elementary - Grade 1-6,Junior Secondary - Grade 7-8,5.7451101,38.364941,0.5,0.25,2,2,200,1,100%,625
5520321,08-Jul-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7430564,38.364731,1,0.75,2,1,400,1,100%,1875
5520322,25-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,High School - Grade 9-10,5.7435375,38.366868,1,0.75,1,2,350,1,100%,1875
5520323,08-Jul-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,No Education,5.7451401,38.36411,0.25,0.25,2,0,,1,<25%,625
5520324,22-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,Yes,Yes,No Education,Elementary - Grade 1-6,5.7442799,38.361802,1.5,1.25,2,0,500,1,100%,3125
5520329,09-Jul-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,No Education,5.7400351,38.362355,1,0.75,2,0,500,1,>50%,1875
5520330,26-Jun-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,High School - Grade 9-10,5.7432028,38.362443,0.5,0.25,1,1,250,1,100%,625
5520401,01-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,Yes,Elementary - Grade 1-6,High School - Grade 9-10,5.7455831,38.356968,2,1.75,1,1,300,1,100%,4375
5520402,06-Apr-20,Man (husband),Yes,Bulehora,Sakicha,Both husband and wife equally,No,Yes,No Education,Elementary - Grade 1-6,5.7446929,38.356473,1.75,1.5,1,0,1200,1,100%,3750
5520403,24-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,Yes,No Education,Elementary - Grade 1-6,5.7449847,38.356106,2,1.5,1,0,2000,1,100%,3750
5520404,23-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,Yes,High School - Grade 9-10,Diploma - Grade 10+4,5.7477065,38.357056,1.5,1,1,0,300,1,100%,2500
5520405,01-Jul-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),Yes,Yes,No Education,Elementary - Grade 1-6,5.7390762,38.358162,1.5,1,3,0,500,1,100%,2500
5520406,24-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,Yes,No Education,Elementary - Grade 1-6,5.7385755,38.35825,2,1.5,1,5,500,1,100%,3750
5520407,01-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7438703,38.356255,1.25,1,1,4,500,1,100%,2500
5520408,23-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7435923,38.358365,0.5,0.25,2,0,200,1,>50%,625
5520410,26-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7419768,38.3559,1,0.75,1,0,350,1,100%,1875
5520411,03-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,No,No Education,No Education,5.7417227,38.35833,1.5,1.25,1,0,300,1,100%,3125
5520412,18-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),Yes,No,No Education,Elementary - Grade 1-6,5.745185,38.358571,2.5,2,2,1,200,1,100%,5000
5520413,24-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.741829,38.357091,0.75,0.5,1,0,300,1,>50%,1250
5520414,23-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,Yes,No Education,High School - Grade 9-10,5.742621,38.356045,1.25,1,1,0,550,1,100%,2500
5520415,09-Jul-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,High School - Grade 9-10,5.7462898,38.357987,0.75,0.5,2,2,250,1,100%,1250
5520416,09-Jul-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,Yes,No Education,No Education,5.7464324,38.358082,0.5,0.25,1,0,350,1,100%,625
5520417,03-Apr-20,Man (husband),Yes,Bulehora,Sakicha,Both husband and wife equally,Yes,Yes,No Education,Elementary - Grade 1-6,5.7368928,38.347119,1.5,1.25,3,6,1000,1,100%,3125
5520419,01-Jul-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),Yes,Yes,Elementary - Grade 1-6,National exam + 3 years vocational - Grade 10+3,5.7395888,38.35907,1.5,1,2,4,,1,100%,2500
5520420,01-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,Yes,No Education,Elementary - Grade 1-6,5.7410141,38.356873,2,1.75,1,2,300,1,100%,4375
5520421,23-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Junior Secondary - Grade 7-8,5.7412759,38.355912,1.5,1,1,3,500,1,100%,2500
5520423,18-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7430721,38.355088,1.25,1,2,2,400,1,100%,2500
5520424,01-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,No,No Education,National exam + 2 years vocational - Grade 10+2,5.7416931,38.357174,1.5,1,3,3,300,1,100%,2500
5520425,26-Jun-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,No Education,5.7395521,38.357682,0.75,0.5,2,3,,1,100%,1250
5520427,06-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,Yes,No Education,High School - Grade 9-10,5.7442809,38.356259,2,1.5,1,2,1000,1,100%,3750
5520429,03-Apr-20,Man (husband),Yes,Bulehora,Sakicha,Both husband and wife equally,No,Yes,No Education,High School - Grade 9-10,5.74219,38.35735,1.5,1.25,3,2,300,1,100%,3125
5520430,24-Jun-20,Woman (wife),Yes,Bulehora,Sakicha,Woman (wife),Yes,,No Education,,5.740831,38.35891,1.5,1,1,6,550,1,100%,2500
5520431,09-Jul-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),Yes,Yes,No Education,Junior Secondary - Grade 7-8,5.7466989,38.35703,1,0.75,1,0,500,1,100%,1875
5520432,23-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7426949,38.355542,0.5,0.25,1,0,200,1,100%,625
5520501,15-May-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.738896,38.360657,1.5,1,3,2,250,1,100%,2500
5520502,06-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,High School - Grade 9-10,High School - Grade 9-10,5.7368608,38.359227,0.5,0.5,1,0,300,1,100%,1250
5520503,04-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,Elementary - Grade 1-6,Junior Secondary - Grade 7-8,5.7373329,38.360886,2,2,1,2,,1,100%,5000
5520504,03-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7366825,38.359589,1.5,1,1,4,400,1,100%,2500
5520506,05-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,No Education,5.7376514,38.359501,1,1,1,0,,1,100%,2500
5520507,04-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,Elementary - Grade 1-6,High School - Grade 9-10,5.7346612,38.360203,1,1,2,2,500,1,100%,2500
5520508,17-Jul-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Junior Secondary - Grade 7-8,5.7320696,38.362851,0.5,0.25,1,0,200,1,100%,625
5520509,24-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,No,No Education,Junior Secondary - Grade 7-8,5.7344146,38.363495,1.25,1,1,1,500,1,100%,2500
5520512,17-Jul-20,Woman (wife),Yes,Bulehora,Sakicha,Man (husband),No,,No Education,,5.7351475,38.360379,1,0.75,1,1,400,1,100%,1875
5520513,04-Mar-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7328692,38.360734,0.5,0.5,1,0,200,1,100%,1250
5520514,18-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,No Education,5.7364403,38.361119,1.25,1,1,2,300,1,100%,2500
5520515,17-Jul-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),Yes,No,No Education,Elementary - Grade 1-6,5.7337604,38.359307,1,0.75,2,0,500,1,100%,1875
5520519,23-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,Yes,No Education,Elementary - Grade 1-6,5.7357293,38.358292,1,0.75,1,0,250,1,100%,1875
5520520,23-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,No Education,5.735632,38.358407,1,0.75,1,1,200,1,100%,1875
5520524,03-Mar-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,High School - Grade 9-10,5.734501,38.359295,1,1,1,4,200,1,100%,2500
5520527,23-Mar-20,Woman (wife),Yes,Bulehora,Sakicha,Woman (wife),No,,No Education,,5.7369138,38.359181,0.5,0.25,1,0,150,1,>25% and <50%,625
5520528,03-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,National exam + 1 year vocational - Grade 10+1,5.7350484,38.360081,1,1,1,5,200,1,100%,2500
5520601,07-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,Yes,No Education,Elementary - Grade 1-6,5.7485753,38.359334,1.25,1,1,0,500,1,100%,2500
5520602,26-Jun-20,Joint with other family members,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7476998,38.362,1.75,1.5,2,4,550,1,100%,3750
5520603,18-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),Yes,Yes,No Education,No Education,5.7467409,38.359555,1.25,1,1,0,250,1,100%,2500
5520604,08-Jul-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7477661,38.368714,2,1.5,2,5,600,1,100%,3750
5520605,19-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,Yes,No Education,Elementary - Grade 1-6,5.7489038,38.360951,0.75,0.5,1,0,300,1,100%,1250
5520606,07-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7486277,38.361252,1.25,1,1,1,500,1,100%,2500
5520607,20-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7490316,38.362084,0.5,0.25,1,0,150,1,>50%,625
5520608,15-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,Yes,Yes,No Education,Elementary - Grade 1-6,5.7470055,38.36015,1.5,1,1,0,400,1,100%,2500
5520609,06-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,No,No Education,No Education,5.7464357,38.360188,2.5,2,1,0,500,1,100%,5000
5520610,10-Jul-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,Yes,No Education,No Education,5.7488814,38.367856,1,0.75,1,0,350,1,100%,1875
5520611,15-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,Yes,Yes,No Education,Elementary - Grade 1-6,5.7472053,38.359486,3.5,2,1,0,500,1,100%,5000
5520612,26-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.749004,38.362134,0.75,0.5,1,0,500,1,100%,1250
5520613,07-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,Yes,No Education,Elementary - Grade 1-6,5.7490607,38.358548,2,1.75,1,1,1500,1,100%,4375
5520614,19-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7492352,38.360005,1,0.75,1,2,500,1,100%,1875
5520615,22-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,Yes,Yes,No Education,High School - Grade 9-10,5.747068,38.359818,1.5,1.25,2,0,500,1,100%,3125
5520620,19-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,High School - Grade 9-10,5.7475334,38.356972,1,0.75,2,0,300,1,100%,1875
5520621,20-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Junior Secondary - Grade 7-8,5.7495824,38.361039,1,0.75,2,0,250,1,100%,1875
5520622,02-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,Yes,Elementary - Grade 1-6,Junior Secondary - Grade 7-8,5.7477084,38.364811,1,0.75,1,0,300,1,100%,1875
5520623,07-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7491675,38.364621,0.5,0.25,1,1,300,1,100%,625
5520625,26-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,No Education,5.7471882,38.360436,0.5,0.25,1,0,350,1,100%,625
5520626,20-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Junior Secondary - Grade 7-8,5.7495495,38.364354,0.5,0.25,2,0,150,1,>50%,625
5520627,20-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Junior Secondary - Grade 7-8,5.7499586,38.364373,0.75,0.25,3,3,300,1,>50%,625
5520628,19-Jun-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7487455,38.360055,0.75,0.5,2,0,150,1,100%,1250
5520629,02-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,Yes,Yes,No Education,Elementary - Grade 1-6,5.7485939,38.365201,1.25,1,1,2,300,1,100%,2500
5520630,20-Jun-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.749414,38.360676,0.5,0.25,1,1,300,1,100%,625
5520631,02-Apr-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),,No,,No Education,5.7536927,38.360806,1,0.75,1,0,500,1,100%,1875
5520701,24-Mar-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Junior Secondary - Grade 7-8,5.7391454,38.35442,1,0.75,1,4,150,1,100%,1875
5520702,24-Mar-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,National exam + 1 year vocational - Grade 10+1,5.7399975,38.354165,0.5,0.25,1,1,150,1,100%,625
5520704,23-Mar-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Junior Secondary - Grade 7-8,5.7379428,38.356927,1.25,1,1,0,700,1,100%,2500
5520708,30-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Both husband and wife equally,Yes,Yes,Elementary - Grade 1-6,Junior Secondary - Grade 7-8,5.7389937,38.355767,1.25,1,1,4,600,1,100%,2500
5520710,20-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7383986,38.355191,1,0.75,1,0,200,0,100%,1875
5520713,30-Mar-20,Woman (wife),Yes,Bulehora,Sakicha,Woman (wife),No,,No Education,,5.7384024,38.354848,0.5,0.25,1,0,150,1,100%,625
5520715,20-Mar-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,Yes,No Education,Elementary - Grade 1-6,5.7441097,38.354691,1.5,1,1,2,200,1,100%,2500
5520718,26-Mar-20,Woman (wife),Yes,Bulehora,Sakicha,Woman (wife),No,,No Education,,5.7407389,38.355053,0.5,0.25,1,0,50,1,50%,625
5520723,20-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Both husband and wife equally,Yes,Yes,Junior Secondary - Grade 7-8,High School - Grade 9-10,5.7387691,38.355164,1,0.75,1,2,300,1,100%,1875
5520725,20-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Both husband and wife equally,No,Yes,No Education,Elementary - Grade 1-6,5.7359415,38.356328,1.5,1.25,1,20,450,1,100%,3125
5520726,23-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,National exam + 1 year vocational - Grade 10+1,5.7397247,38.355359,0.25,0.25,1,0,100,1,100%,625
5520727,01-May-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,High School - Grade 9-10,5.7374931,38.355275,0.5,0.25,1,4,500,1,100%,625
5520801,27-Feb-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,Yes,No Education,National exam + 3 years vocational - Grade 10+3,5.7297474,38.365048,1.5,1,2,2,300,1,100%,2500
5520802,02-Mar-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7293559,38.3644,0.25,0.25,1,0,100,1,100%,625
5520803,15-May-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,No,No Education,No Education,5.7285252,38.365841,1.5,1,2,10,400,0,100%,2500
5520804,24-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,No Education,5.7315107,38.360623,0.5,0.25,1,0,200,1,50%,625
5520805,28-Feb-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Junior Secondary - Grade 7-8,5.727687,38.360955,1.5,1,1,2,200,1,100%,2500
5520806,24-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,No,No Education,No Education,5.7314411,38.361516,0.5,0.25,1,0,300,1,100%,625
5520807,05-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7311917,38.363526,0.5,0.5,1,1,200,1,100%,1250
5520808,28-Feb-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,National exam + 1 year vocational - Grade 10+1,5.7291966,38.361634,0.5,0.5,1,0,100,1,100%,1250
5520809,28-Feb-20,Woman (wife),Yes,Bulehora,Sakicha,Man (husband),No,No,Elementary - Grade 1-6,High School - Grade 9-10,5.7327071,38.363423,1.25,1,2,2,200,1,100%,2500
5520810,15-May-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,Elementary - Grade 1-6,Junior Secondary - Grade 7-8,5.7273441,38.36728,0.75,0.5,1,0,300,1,100%,1250
5520813,05-Mar-20,Woman (wife),Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,High School - Grade 9-10,5.730342,38.36604,0.5,0.5,2,0,500,1,100%,1250
5520816,27-Feb-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,Yes,No Education,No Education,5.7281638,38.36485,0.5,0.25,1,0,250,1,100%,625
5520817,28-Feb-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,Elementary - Grade 1-6,5.7298852,38.363904,1.5,1,1,6,500,1,100%,2500
5520820,02-Mar-20,Man (husband),Yes,Bulehora,Sakicha,Man (husband),No,No,No Education,No Education,5.7292796,38.364117,0.5,0.5,1,1,150,1,100%,1250
5520821,20-May-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,No,Elementary - Grade 1-6,Elementary - Grade 1-6,5.7316061,38.364503,1,0.75,2,1,400,1,100%,1875
5520823,02-Mar-20,Woman (wife),Yes,Bulehora,Sakicha,Woman (wife),No,No,No Education,No Education,5.7312532,38.361046,1,0.5,1,0,200,1,100%,1250
5520901,15-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,Yes,No Education,No Education,5.7456399,38.362038,1,0.75,3,1,250,1,100%,1875
5520902,02-Apr-20,Man (husband),Yes,Bulehora,Sakicha,Both husband and wife equally,Yes,Yes,No Education,Elementary - Grade 1-6,5.7474166,38.361973,1.5,1,1,2,400,1,100%,2500
5520903,26-Mar-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Man (husband),No,Yes,No Education,Elementary - Grade 1-6,5.7467123,38.362984,0.5,0.25,1,1,250,1,100%,625
5520904,06-Apr-20,Both husband and wife equally,Yes,Bulehora,Sakicha,Both husband and wife equally,No,Yes,No Education,Elementary - Grade 1-6,5.7454077,38.363267,0.25,0.25,2,0,400,1,100%,625
